Image Address,Target Index,Target Right Ascension,Target Declination,Survey,Band,Number of Central Blobs,Main Blob Center,Main Blob Radius,Main Blob Displacement,Percent Outside Diffraction,Threshold Value,Percent of Image White,Validation,Error
FITS/RandSample-2000/index-4/2MASS--H,4,320.142913,-42.626586,2MASS,H,1,"(29, 30)",4,2.23606797749979,0.0,0.388671875,0.009674818597151304,,NULL
FITS/RandSample-2000/index-5/WISE+(AllWISE)--w3,5,219.6633,-27.425066,WISE,w3,0,NULL,NULL,NULL,NULL,0.595703125,0.145679012345679,0,Image lacks central blob
FITS/RandSample-2000/index-5/WISE+(AllWISE)--w2,5,219.6633,-27.425066,WISE,w2,1,"(23, 22)",7,1.0,0.0,0.369140625,0.10567901234567902,,NULL
FITS/RandSample-2000/index-5/DSS--DSS1+Blue,5,219.6633,-27.425066,DSS,DSS1+Blue,1,"(27, 31)",5,3.1622776601683795,0.0,0.412109375,0.03587570621468927,,NULL
FITS/RandSample-2000/index-5/DSS--DSS1+Red,5,219.6633,-27.425066,DSS,DSS1+Red,1,"(26, 32)",5,4.47213595499958,0.0,0.427734375,0.03418079096045198,,NULL
FITS/RandSample-2000/index-5/DSS--DSS2+Blue,5,219.6633,-27.425066,DSS,DSS2+Blue,1,"(17, 18)",4,1.0,0.0,0.419921875,0.037551020408163265,,NULL
FITS/RandSample-2000/index-5/2MASS--K,5,219.6633,-27.425066,2MASS,K,1,"(30, 30)",4,1.4142135623730951,0.0,0.345703125,0.010212308519215264,,NULL
FITS/RandSample-2000/index-5/WISE+(AllWISE)--w4,5,219.6633,-27.425066,WISE,w4,0,NULL,NULL,NULL,NULL,0.755859375,0.6004938271604938,0,Image lacks central blob
FITS/RandSample-2000/index-5/DSS--DSS2+Red,5,219.6633,-27.425066,DSS,DSS2+Red,1,"(30, 30)",7,0.0,0.0,0.408203125,0.052824858757062144,,NULL
FITS/RandSample-2000/index-5/DSS--DSS2+IR,5,219.6633,-27.425066,DSS,DSS2+IR,1,"(29, 30)",5,1.0,0.0,0.392578125,0.030508474576271188,,NULL
FITS/RandSample-2000/index-5/WISE+(AllWISE)--w1,5,219.6633,-27.425066,WISE,w1,1,"(23, 22)",7,1.0,0.0,0.337890625,0.09135802469135802,,NULL
FITS/RandSample-2000/index-5/2MASS--J,5,219.6633,-27.425066,2MASS,J,1,"(30, 30)",4,1.4142135623730951,0.0,0.337890625,0.010481053480247245,,NULL
FITS/RandSample-2000/index-5/2MASS--H,5,219.6633,-27.425066,2MASS,H,1,"(30, 30)",4,1.4142135623730951,0.0,0.345703125,0.009406073636119323,,NULL
